id,type,paid_date,total_gross,401k,hsa,group_insurance,total_deductions,federal_tax,state_tax,ss_tax,medicare_tax,total_taxes,net_pay
1,pay,2023-01-15,8333.33,3583.33,730,13.75,4327.08,0,164.27,470.55,110.05,744.87,3261.38
2,pay,2023-01-30,8333.33,3583.33,730,13.75,4327.08,0,164.27,470.55,110.05,744.87,3261.38
3,pay,2023-02-15,8658.35,3723.09,730,13.75,4466.84,0,174.92,490.71,114.76,780.39,3411.12
4,pay,2023-02-28,8441.67,0,730,13.75,743.75,104.26,376.54,477.27,111.62,1069.69,6628.23
5,pay,2023-03-15,8441.67,0,730,13.75,743.75,104.26,376.54,477.27,111.62,1069.69,6628.23
6,pay,2023-03-30,8441.67,253.25,730,13.75,997.00,0,73.87,361.97,111.62,1024.73,6419.94
7,pay,2023-04-15,8441.67,253.25,730,13.75,997.00,0,73.87,361.97,111.62,1024.73,6419.94
8,pay,2023-04-30,8441.67,253.25,730,13.75,997.00,0,73.87,361.97,111.62,1024.73,6419.94
9,pay,2023-05-15,8441.67,253.25,730,13.75,997.00,0,73.87,361.97,111.62,1024.73,6419.94
10,pay,2023-05-30,8441.67,253.25,730,13.75,997.00,0,73.87,361.97,111.62,1024.73,6419.94
11,pay,2023-06-15,8441.67,253.25,450,13.75,717.00,107.47,378.07,494.63,115.68,1095.85,6628.82
12,pay,2023-06-30,8441.67,253.25,0,13.75,267.00,161.47,403.95,522.53,122.20,1210.15,6964.52
13,pay,2023-07-15,8441.67,253.25,0,13.75,267.00,161.47,403.95,522.53,122.20,1210.15,6964.52
14,pay,2023-07-30,8441.67,159.59,0,13.75,173.34,172.70,409.34,522.53,122.20,1226.77,7041.56
15,pay,2023-08-15,8441.67,0,0,13.75,13.75,191.86,418.51,522.53,122.20,1255.10,7172.82
16,pay,2023-08-30,8441.67,0,0,13.75,13.75,191.86,418.51,522.53,122.20,1255.10,7172.82
17,pay,2023-09-15,8441.67,0,0,13.75,13.75,191.86,418.51,522.53,122.20,1255.10,7172.82
18,pay,2023-09-30,8441.67,0,0,13.75,13.75,191.86,418.51,170.97,122.20,903.54,7524.38
19,pay,2023-10-15,8441.67,0,0,13.75,0,191.86,418.51,0,122.20,732.57,7695.35
20,pay,2023-10-30,8441.67,0,0,13.75,0,191.86,418.51,0,122.20,732.57,7695.35
21,pay,2023-11-15,8441.67,0,0,13.75,0,191.86,418.51,0,122.20,732.57,7695.35
22,pay,2023-11-30,8441.67,0,0,13.75,0,191.86,418.51,0,122.20,732.57,7695.35
23,pay,2023-12-15,8441.67,0,0,13.75,13.75,191.86,418.51,0,194.29,804.66,7623.26
24,pay,2023-12-30,8441.67,0,0,13.75,13.75,191.86,418.51,0,198.06,808.43,7619.49
25,bonus,2023-01-15,21917.81,9424.66,0,0,9424.66,0,718.36,1358.90,317.81,2395.07,10098.08
